,name,category_code,number_of_employees,founded_year,description,total_money_raised,latitude,longitude,city
0,OpenX,advertising,305.0,2008,OpenX,$75.5M,34.1494713,-118.1327468,Pasadena
1,GoingOn,software,40.0,2008,Private Academic Networks,$8.5M,37.782263,-122.392142,San Francisco
2,Crunchyroll,games_video,50.0,2008,Digital Entertainment and Media Platform,$4.8M,37.781265,-122.393229,San Francisco
3,GENWI,mobile,25.0,2010,Cloud Publishing for Mobile,$7.1M,33.8171,-111.9035,Los Altos
4,Fixya,web,30.0,2013,Tech Support Community,$8M,37.566879,-122.323895,San Mateo
5,Uptake,web,,2008,,$16.8M,37.443058,-122.161674,Palo Alto
6,BeliefNet,web,,2008,,$7M,40.740231,-73.985433,New York
7,RazorGator,ecommerce,,2011,online ticket reselling,$58.8M,34.047312,-118.445243,Los Angeles
8,First30Days,web,17.0,2008,,$5M,38.257035,-85.717393,Louisville
9,Social Gaming Network,games_video,100.0,2011,social gaming platform,$17.1M,37.446823,-122.161523,Los Angeles
10,Social Gaming Network,games_video,100.0,2011,social gaming platform,$17.1M,34.0698494,-118.4054182,Beverly Hills
11,Kluster,web,,2008,Project Collaboration Tool,$1M,40.723652,-73.985281,New York
12,BillShrink,web,,2008,Product and service recomendations,$9M,37.503147,-122.211435,Redwood City
13,LiveRail,advertising,110.0,2008,video advertising technology,$12M,37.787183,-122.397759,San Francisco
14,Skydeck,mobile,9.0,2012,photos social mobile messaging,$4M,37.5645375,-122.3254705,Palo Alto
15,Sprout,advertising,18.0,2008,Build Ads Simply,$8.3M,21.30829,-157.8086025,Honolulu
16,Sprout,advertising,18.0,2008,Build Ads Simply,$8.3M,37.755012,-122.418137,San Francisco
17,Magento,ecommerce,275.0,2010,eCommerce Platform,$22.5M,34.052187,-118.243425,Los Angeles
18,Cotendo,software,30.0,2008,CDN & Site Acceleration Provider,$36M,37.504764,-122.259568,Sunnyvale
19,Mojiva,mobile,105.0,2008,Mobile Advertising,$45.8M,40.7185614,-73.998662,New York
20,GitHub,software,106.0,2008,Social Coding,$100M,37.775196,-122.419204,San Francisco
21,UserVoice,software,22.0,2008,Online feedback and support software,$1.8M,36.9751032,-122.0253784,San Francisco
22,Retail Convergence,ecommerce,,2008,Portfolio of ecommerce applications,$25M,42.35888,-71.05682,Boston
23,Serious Business,games_video,22.0,2008,Social Game Development Studio,$4M,37.7893215,-122.4013624,San Francisco
24,Pontiflex,advertising,,2008,Mobile and Online Signup Ads Platform,$8.75M,40.702692,-73.989613,Brooklyn
