,name,category_code,number_of_employees,founded_year,description,total_money_raised,latitude,longitude,city
0,Askablogr,web,,2008,Blog Chat Widget,$0,47.620716,-122.347533,Seattle
1,politicsultra,games_video,,2008,Political Social Media,$0,47.693994,-122.349701,Seattle
2,Pirillo Open Source CMS Project,web,,2008,Open Source CMS,$0,47.620716,-122.347533,Seattle
3,Gimigo,analytics,4.0,2013,Click. Change. Done.™,$0,44.859587,-93.226503,Seattle
4,Jetrecord,web,1.0,2008,Pilot Logbook,$0,40.179731,-105.20545,Seattle
5,findwell,web,7.0,2008,Real Estate Search,$0,47.627368,-122.34229,Seattle
6,Decho,web,150.0,2008,,$0,47.6024156,-122.3326145,Seattle
7,Valu Valu,games_video,3.0,2008,,$0,47.6254784,-122.3564234,Seattle
8,Social1000,network_hosting,1.0,2009,,$0,61.216583,-149.899597,Seattle
9,able2know,web,5.0,2008,Question and Answer Community,$0,47.5990906,-122.335109,Seattle
10,Implied Solutions,software,1.0,2008,Digital Signage and POS Software,$0,47.6042663,-122.3328401,Seattle
11,FrugalMechanic,ecommerce,,2008,Online auto part sales,$0,47.620973,-122.347276,Seattle
12,SlideME,mobile,,2008,,$0,47.5992095,-122.3343564,Seattle
13,L4 Mobile,mobile,25.0,2008,Concept to delivery- mobile services,$4.8M,47.676762,-122.2049192,Seattle
14,Optify,software,45.0,2008,Digital Marketing Software,$10.8M,47.603364,-122.333359,Seattle
15,Twibs,advertising,3.0,2008,Directory of businesses on Twitter,$0,47.718192,-122.284674,Seattle
16,Z2Live,games_video,130.0,2009,Mobile Games,$6.5M,47.6103008,-122.3399782,Seattle
17,GroupieGuide,web,4.0,2008,Free Group Website,$0,47.6042792,-122.3374372,Seattle
18,AppStoreHQ,mobile,3.0,2009,Mobile Application Search and Discovery,$0,47.6447802,-122.325878,Seattle
19,Eco-Rate,web,,2009,Product Comparison Website,$0,47.715013,-122.320283,Seattle
20,Flaggpole,web,4.0,2009,location-based social network,$0,47.620973,-122.347276,Seattle
