,name,address,longitude,latitude
0,San Carlos Airport,"620 Airport Way, San Carlos, CA 94070, United States",-122.2503052,37.5153754
1,San Francisco International Airport,"San Francisco, CA 94128, United States",-122.3789554,37.6213129
2,Oakland International Airport,"1 Airport Dr, Oakland, CA 94621, United States",-122.2197428,37.7125689
3,Half Moon Bay Airport,"9850 Cabrillo Hwy, Half Moon Bay, CA 94019, United States",-122.4951258,37.5139029
4,San Mateo Marriott San Francisco Airport,"1770 S Amphlett Blvd, San Mateo, CA 94402, United States",-122.3008423,37.5565187
5,Peninsula Ave & Airport boulevard,"Peninsula Ave, San Mateo, CA 94401, United States",-122.3277048,37.5853367
6,San Mateo SFO Airport Hotel,"350 N Bayshore Blvd, San Mateo, CA 94401, United States",-122.3220936,37.5789772
7,Residence Inn by Marriott San Francisco Airport/San Mateo,"2000 Winward Way, San Mateo, CA 94404, United States",-122.2833325,37.5560073
8,Norman Y. Mineta San Jose International Airport,"1701 Airport Blvd, San Jose, CA 95110, United States",-121.9289375,37.3639472
9,Peninsula Cab Co,"San Mateo, CA 94401, United States",-122.3164207,37.5793536
10,SFOII,"37 18.8, 24 0.9, 122 37th Ave, San Mateo, CA 94403, United States",-122.3922954,37.6160909
11,Total Airport Services,"900 N Access Rd, San Francisco, CA 94128, United States",-122.3884269,37.6388408
12,Flying Veterans Club of San Francisco,"Hangar F1, KSQL, San Carlos, CA 94070, United States",-122.2492147,37.5140883
13,Signature Flight Support SFO - San Francisco International Airport,"Signature Executive Terminal, 1052 N Access Rd, San Francisco, CA 94128, United States",-122.3848455,37.62832969999999
14,San Mateo,"385 1st Ave, San Mateo, CA 94401, United States",-122.3237263,37.56782219999999
15,International Terminal Garage G,"International Terminal Departures Level, Millbrae, CA 94030, United States",-122.3925065,37.6156406
16,SFO airport,"610 International Terminal Departures Level, San Francisco, CA 94128, United States",-122.3902652,37.6160055
17,SFO Airport Terminal 2-Lower Level,"California 94128, United States",-122.383737,37.616777
18,SFO,"San Francisco, CA 94128, United States",-122.3845135,37.6187585
19,Sfo,"San Francisco, CA 94128, United States",-122.3902741,37.6152966
20,American Airlines Inc,"606 N McDonnell Rd, San Francisco, CA 94128, United States",-122.3981706,37.633545
21,SFO Airport Terminal 3 - Lower Level,"California 94128, United States",-122.388066,37.6166387
22,Allied Transportation,"4021 Pacific Blvd, San Mateo, CA 94403, United States",-122.2884855,37.5310888
23,SkyPark,"1000 San Mateo Ave, San Bruno, CA 94066, United States",-122.4100923,37.6350099
24,SFO Airport Terminal A - Lower Level,"California 94128, United States",-122.389293,37.615019
25,Five Star Taxi Cab Burlingame,"117 S Delaware St, San Mateo, CA 94401, United States",-122.3322376,37.5684833
26,Redwood Shores Pkwy & Airport Way,"Redwood Shores, CA 94070, United States",-122.253754,37.517104
27,Lorrie's Airport Shuttle,"444 San Mateo Ave B, San Bruno, CA 94066, United States",-122.4109825,37.6227043
0,Seattle-Tacoma International Airport,"17801 International Blvd, Seattle, WA 98158, United States",-122.3088165,47.4502499
1,Boeing Field,"7277 Perimeter Rd S, Seattle, WA 98108, United States",-122.3018264,47.5281657
0,Dulles International Airport,"1 Saarinen Cir, Dulles, VA 20166, United States",-77.45653879999999,38.9531162
1,Ronald Reagan Washington National Airport,"Arlington, VA 22202, United States",-77.04023149999999,38.851242
