,name,category_code,number_of_employees,founded_year,description,total_money_raised,latitude,longitude
0,OpenX,advertising,305.0,2008,OpenX,$75.5M,34.1494713,-118.1327468
1,GoingOn,software,40.0,2008,Private Academic Networks,$8.5M,37.782263,-122.392142
2,Cloudant,enterprise,70.0,2008,NoSQL database managed service,$18.3M,42.35892,-71.05781
3,KIT digital,enterprise,200.0,2008,video distribution solutions,$20M,40.751816,-73.971655
4,Crunchyroll,games_video,50.0,2008,Digital Entertainment and Media Platform,$4.8M,37.781265,-122.393229
5,PeekYou,search,20.0,2012,,$1.83M,40.757929,-73.985506
6,GENWI,mobile,25.0,2010,Cloud Publishing for Mobile,$7.1M,33.8171,-111.9035
7,Fixya,web,30.0,2013,Tech Support Community,$8M,37.566879,-122.323895
8,Uptake,web,,2008,,$16.8M,37.443058,-122.161674
9,BeliefNet,web,,2008,,$7M,40.740231,-73.985433
10,Widgetbox,other,30.0,2012,Application creation and distribution,$14.5M,37.798853,-122.398599
11,RazorGator,ecommerce,,2011,online ticket reselling,$58.8M,34.047312,-118.445243
12,First30Days,web,17.0,2008,,$5M,38.257035,-85.717393
13,Social Gaming Network,games_video,100.0,2011,social gaming platform,$17.1M,37.446823,-122.161523
14,Social Gaming Network,games_video,100.0,2011,social gaming platform,$17.1M,34.0698494,-118.4054182
15,Kluster,web,,2008,Project Collaboration Tool,$1M,40.723652,-73.985281
16,Howcast,photo_video,,2008,,$11M,40.646166,-73.889492
17,BillShrink,web,,2008,Product and service recomendations,$9M,37.503147,-122.211435
18,99designs,design,100.0,2008,Online graphic design marketplace,$35M,37.7955307,-122.4005983
19,LiveRail,advertising,110.0,2008,video advertising technology,$12M,37.787183,-122.397759
20,Skydeck,mobile,9.0,2012,photos social mobile messaging,$4M,37.5645375,-122.3254705
21,Sprout,advertising,18.0,2008,Build Ads Simply,$8.3M,21.30829,-157.8086025
22,Sprout,advertising,18.0,2008,Build Ads Simply,$8.3M,37.755012,-122.418137
23,Gnip,enterprise,34.0,2008,Social Data for Enterprise,$6.64M,40.019299,-105.274628
24,CloudMade,enterprise,45.0,2008,Geo data and location products,€12M,37.477944,-122.151234
25,Act-On Software,enterprise,,2008,Integrated marketing platform,$30.5M,45.484177,-122.79635
26,Magento,ecommerce,275.0,2010,eCommerce Platform,$22.5M,34.052187,-118.243425
27,Edmodo,education,100.0,2008,Social learning network,$40M,41.857915,-88.321171
28,Cotendo,software,30.0,2008,CDN & Site Acceleration Provider,$36M,37.504764,-122.259568
29,Mojiva,mobile,105.0,2008,Mobile Advertising,$45.8M,40.7185614,-73.998662
30,GitHub,software,106.0,2008,Social Coding,$100M,37.775196,-122.419204
31,Salesconx,enterprise,15.0,2008,Business Referral Network,$1.3M,40.759243,-73.98459
32,UserVoice,software,22.0,2008,Online feedback and support software,$1.8M,36.9751032,-122.0253784
33,Retail Convergence,ecommerce,,2008,Portfolio of ecommerce applications,$25M,42.35888,-71.05682
34,Serious Business,games_video,22.0,2008,Social Game Development Studio,$4M,37.7893215,-122.4013624
35,Pontiflex,advertising,,2008,Mobile and Online Signup Ads Platform,$8.75M,40.702692,-73.989613
36,Syncplicity,enterprise,25.0,2008,Cloud File Storage and Sync,$2.35M,37.814202,-122.477959
37,New Relic,software,63.0,2008,SaaS Application Performance Management,$175M,37.269175,-119.306607
38,NewsCred,advertising,70.0,2008,,$21.8M,46.223157,6.124424
39,Stitcher,mobile,17.0,2008,It is a leading mobile audio company,$18.7M,37.775196,-122.419204
40,Bizo,advertising,66.0,2008,Business Audience Marketing ,$28.5M,37.7911186,-122.4011706
41,Knewton,education,145.0,2008,Adaptive Learning Platform,$105M,40.7310476,-74.0078134
42,OtherInbox,messaging,14.0,2008,Email Services,$3.8M,30.269004,-97.740395
43,appssavvy,advertising,20.0,2008,activity advertising technology company,$10.2M,40.724604,-73.996876
44,BrandYourself,web,22.0,2009,Take Control of Your Own Search Results,$1.5M,42.275263,-71.24762
45,Tapulous,mobile,15.0,2008,iPhone application developer,$2.8M,37.444332,-122.161018
46,Titan Gaming,games_video,18.0,2010,,$1M,53.544711,-113.515769
47,Posterous,web,9.0,2008,Web Publishing Platform,$10.1M,37.775196,-122.419204
48,Open Places,web,3.0,2008,Travel,$1.1M,37.758352,-122.398379
49,Medialets,advertising,60.0,2008,Mobile 3rd Party Ad Server & Rich Media,$28.4M,40.756054,-73.986951
50,Medialets,advertising,60.0,2008,Mobile 3rd Party Ad Server & Rich Media,$28.4M,37.775196,-122.419204
51,Bitly,web,,2008,URL shortener,$31.4M,40.74034,-74.00721
52,trueAnthem,advertising,10.0,2008,Social Sharing & Influencer Analytics ,$7.48M,37.8059887,-122.4099154
53,SnagFilms,social,40.0,2008,Free Movies On Demand,$29.5M,38.906867,-77.042322
54,Buysight,advertising,,2008,,$24M,37.425359,-122.1389633
55,Allvoices,news,10.0,2008,Global citizen journalism hub,€3.04M,37.791068,-122.401942
56,ngmoco,games_video,150.0,2008,Games for the iPhone,$44.8M,37.7705096,-122.4015807
57,Sharethrough,advertising,80.0,2008,Native Advertising,$11M,37.7976785,-122.4018163
58,Integrate,software,120.0,2010,Marketing Software and Media Services,$34.8M,40.7481039,-74.0353787
59,Koofers,education,9.0,2008,"College Studying, Internships & Jobs",$7M,37.2322135,-80.4164606
60,NexPlanar,semiconductor,,2008,CMP pad Producer,$43M,45.546481,-122.9021288
61,LockerDome,social,27.0,2008,interest-based social media platform,$8.09M,38.6501668,-90.2598684
62,LockerDome,social,27.0,2008,interest-based social media platform,$8.09M,40.7272544,-74.0057152
63,Occipital,software,9.0,2008,Mobile computer vision,$8.02M,40.018145,-105.278109
64,UsingMiles,travel,15.0,2010,Award+Cash Travel Meta Search ,$3.27M,39.749671,-104.9998449
65,iCharts,analytics,16.0,2008,searchable interactive online charts,$3.1M,37.384239,-122.012475
66,AdRocket,advertising,5.0,2008,Email ad targeting network,$1M,37.775196,-122.419204
67,Yammer,enterprise,400.0,2008,Enterprise Social Network,$142M,37.776246,-122.4179223
68,Big Stage,web,,2008,3d imaging,$10.6M,34.111471,-118.174878
69,Lolapps,web,65.0,2008,,$4M,37.7870923,-122.3999719
