,name,address,longitude,latitude
0,The Clubhouse Bistro,"1221 Chess Dr, Foster City, CA 94404, United States",-122.2769085,37.5622822
1,Grape & Grain,"227 S San Mateo Dr, San Mateo, CA 94401, United States",-122.3243753,37.5648376
2,Vinyl Room,"221 Park Rd, Burlingame, CA 94010, United States",-122.3461701,37.5775
3,Small Fry Dance Club,"1528 S El Camino Real #208, San Mateo, CA 94402, United States",-122.3158576,37.553332
4,Sky Lounge,"76 E 3rd Ave, San Mateo, CA 94401, United States",-122.3245351,37.5638714
5,Downtown Tiki Lounge,"144 S B St, San Mateo, CA 94401, United States",-122.3236946,37.5664932
6,B Street Station,"236 S B St, San Mateo, CA 94401, United States",-122.3229764,37.5658343
7,O'Neills Irish Pub,"34 S B St, San Mateo, CA 94401, United States",-122.3243616,37.5671561
8,The Swingin' Door,"106 E 25th Ave, San Mateo, CA 94403, United States",-122.3045991,37.545086
9,Attic,"234 S B St, San Mateo, CA 94401, United States",-122.3230205,37.5659027
10,Club Caliente,"1776 Broadway, Redwood City, CA 94063, United States",-122.2229391,37.4870427
11,Motion Arts Center,"217 S Claremont St, San Mateo, CA 94401, United States",-122.320882,37.56715
12,South Bay Fusion,"560 El Camino Real, Redwood City, CA 94063, United States",-122.2390581,37.4893996
13,Bucky's Cocktail Lounge,"101 South Blvd, San Mateo, CA 94402, United States",-122.3129576,37.5538764
14,Club Shoreview,"596 S Norfolk St, San Mateo, CA 94401, United States",-122.3099127,37.5708389
15,Porterhouse,"60 E 3rd Ave, San Mateo, CA 94401, United States",-122.3247931,37.5637114
16,Antone's Cocktail Lounge,"32 37th Ave, San Mateo, CA 94403, United States",-122.295215,37.534305
17,Roberto Lee Shipping,"63 Bovet Rd #507, San Mateo, CA 94402, United States",-122.3139879,37.55031
18,Caribbean Gardens,"1302 Old Bayshore Hwy, Burlingame, CA 94010, United States",-122.3627357,37.5937835
19,Barrelhouse,"305 California Dr, Burlingame, CA 94010, United States",-122.345927,37.5798493
20,Peninsula Italian American Social Club,"100 N B St, San Mateo, CA 94401, United States",-122.3257731,37.5689475
21,Bel Mateo Bowl,"4330 Olympic Ave, San Mateo, CA 94403, United States",-122.290619,37.52826
22,Yuppie Bar,"709 S B St, San Mateo, CA 94401, United States",-122.3190651,37.5626061
23,840 Wine Bar & Cocktail Lounge,"840 Brewster Ave, Redwood City, CA 94063, United States",-122.2343484,37.4888448
24,The Field Club,"742 Polhemus Rd, San Mateo, CA 94402, United States",-122.3388959,37.5202238
25,Nick Foster Entertainment,"1324 Rollins Rd, Burlingame, CA 94010, United States",-122.3651314,37.5903496
26,The Rail Sports Bar & Lounge,"612 El Camino Real, San Carlos, CA 94070, United States",-122.2600832,37.5068838
27,San Mateo,"385 1st Ave, San Mateo, CA 94401, United States",-122.3237263,37.56782219999999
28,Club Fox,"2209 Broadway, Redwood City, CA 94063, United States",-122.2294332,37.4863522
29,Myriad Music School & Dance Academy,"2250 Palm Ave, San Mateo, CA 94403, United States",-122.3063573,37.5460056
30,Flights 101 Club Lounge,"1800 Old Bayshore Hwy, Burlingame, CA 94010, United States",-122.3706105,37.6025048
31,The Great Entertainer,"2028 S El Camino Real, San Mateo, CA 94403, United States",-122.3094511,37.547694
