,name,address,longitude,latitude
0,sweetgreen,"1 E 3rd Ave, San Mateo, CA 94401, United States",-122.3259359,37.563364
1,Hummus Mediterranean Kitchen,"150 E 4th Ave, San Mateo, CA 94401, United States",-122.322577,37.5637307
2,Curry Up Now,"129 S B St, San Mateo, CA 94401, United States",-122.3235831,37.5668452
3,Avocado Toast,"226 E 3rd Ave, San Mateo, CA 94401, United States",-122.3225961,37.5652582
4,Que SeRaw SeRaw,"1160 Capuchino Ave, Burlingame, CA 94010, United States",-122.3653863,37.5848337
5,Wursthall,"310 Baldwin Ave, San Mateo, CA 94401, United States",-122.324631,37.567287
6,SAJJ Mediterranean San Mateo,"251 E 3rd Ave, San Mateo, CA 94401, United States",-122.3228191,37.5654122
7,Minako Organic-ish Japanese Cuisine,"360 Peninsula Ave, San Mateo, CA 94401, United States",-122.3374565,37.57825270000001
8,Village Hummus,"1001 Park Pl, San Mateo, CA 94404, United States",-122.2926994,37.544691
9,Three Craft Kitchen & Bar,"50 E 3rd Ave, San Mateo, CA 94401, United States",-122.324839,37.5635868
10,Best of Burma Restaurant,"146 E 3rd Ave, San Mateo, CA 94401, United States",-122.323615,37.5644621
11,Velo City Pizza,"168 W 25th Ave, San Mateo, CA 94403, United States",-122.3084494,37.5435826
12,Pausa Bar & Cookery,"223 E 4th Ave, San Mateo, CA 94401, United States",-122.321999,37.5647072
13,All Spice,"1602 S El Camino Real, San Mateo, CA 94402, United States",-122.315668,37.55286410000001
14,Ike's Place,"680 E 3rd Ave, San Mateo, CA 94401, United States",-122.3193355,37.5674695
15,Mingalaba Restaurant,"1213 Burlingame Ave, Burlingame, CA 94010, United States",-122.3464794,37.578857
16,Thonglor Thai Bistro,"173 E 4th Ave, San Mateo, CA 94401, United States",-122.3228988,37.5641598
17,Pancho Villa Taqueria,"365 S B St, San Mateo, CA 94401, United States",-122.3216043,37.5650382
18,Falafelle,"2209, 1035 Ralston Ave, Belmont, CA 94002, United States",-122.2774245,37.5188128
19,Mendocino Farms Sandwich Market,"1060 Park Pl, San Mateo, CA 94403, United States",-122.2913981,37.5447991
20,Zen Noodle Bar,"668 E 3rd Ave, San Mateo, CA 94401, United States",-122.3192886,37.5673125
21,New Thai Elephant,"200 S B St, San Mateo, CA 94401, United States",-122.3232832,37.5660688
22,Ike's Sandwiches,"1400 Howard Ave, Burlingame, CA 94010, United States",-122.3469025,37.5766038
23,Charm Thai Eatery,"1428 S El Camino Real, San Mateo, CA 94402, United States",-122.316222,37.55384859999999
24,Pacific Catch,"243 S B St, San Mateo, CA 94401, United States",-122.322642,37.56594
25,Taishoken Ramen,"47 E 4th Ave, San Mateo, CA 94401, United States",-122.3241043,37.5633138
26,Bay Watch San Mateo,"201 2nd Ave, San Mateo, CA 94401, United States",-122.3239588,37.5659298
27,Jeffrey's Hamburgers,"42 S B St, San Mateo, CA 94401, United States",-122.3242923,37.5670789
28,Central Park Bistro,"181 E 4th Ave, San Mateo, CA 94401, United States",-122.3228201,37.5642295
29,North Beach Pizza,"240 E 3rd Ave, San Mateo, CA 94401, United States",-122.3224167,37.5653451
30,Mumu Hot Pot,"1099 Foster Square Ln Suite 135, Foster City, CA 94404, United States",-122.2678549,37.5590373
31,Vault 164 Restaurant and Bar,"164 S B St, San Mateo, CA 94401, United States",-122.3235274,37.5662995
32,The Counter San Mateo,"41 W Hillsdale Blvd, San Mateo, CA 94403, United States",-122.2980297,37.5356728
33,Saigon City Restaurant,"418 E 3rd Ave, San Mateo, CA 94401, United States",-122.320984,37.566384
34,Crepevine Restaurants,"1310 Burlingame Ave, Burlingame, CA 94010, United States",-122.3475837,37.5784942
35,Little China Kitchen,"215 E 3rd Ave, San Mateo, CA 94401, United States",-122.3229773,37.5653363
36,RASA,"209 Park Rd, Burlingame, CA 94010, United States",-122.3460472,37.5774089
37,Clay Oven Cuisine of India,"78 E 3rd Ave, San Mateo, CA 94401, United States",-122.3244817,37.5638887
38,Stella Alpina Osteria,"401 Primrose Rd, Burlingame, CA 94010, United States",-122.3494644,37.5787663
39,Taqueria La Cumbre SM,"28 N B St, San Mateo, CA 94401, United States",-122.3247243,37.5680926
40,Sweet Basil Thai Cuisine,"1473 Beach Park Blvd, Foster City, CA 94404, United States",-122.2503833,37.56309090000001
41,Amici's East Coast Pizzeria,"69 E 3rd Ave, San Mateo, CA 94401, United States",-122.3248565,37.5640816
42,Little Sichuan Restaurant,"168 E 4th Ave, San Mateo, CA 94401, United States",-122.322414,37.563774
43,The SPOT on 25th,"138 W 25th Ave, San Mateo, CA 94403, United States",-122.3078427,37.5437893
44,Pizza My Heart,"140 E 4th Ave, San Mateo, CA 94401, United States",-122.3227003,37.5637701
45,Big Lettuce,"3174 Campus Dr, San Mateo, CA 94403, United States",-122.3278854,37.5337447
46,Andes Cafe San Mateo,"2317 S El Camino Real, San Mateo, CA 94403, United States",-122.3062684,37.5452959
47,Kobeya,"140 W 25th Ave, San Mateo, CA 94403, United States",-122.3078976,37.5437365
